problem;set;formula;selected;occurrences
Tc3p;set3;((T1-d)+P1)+P1;FALSE;0
Tc3p;set3;(T1+P1)+(P1-d);FALSE;0
Tc3p;set3;((T1+d)-P1)+d;FALSE;0
Tc3p;set3;((T1+d)+T1)+P1;FALSE;0
Tc3p;set3;(T1+(P1-d))+T1;FALSE;0
Tc3p;set3;(T1+d)-(P1+d);FALSE;0
Tc3p;set3;(T1-(P1-d))+P1;FALSE;0
Tc3p;set3;(T1+(P1+d))-d;FALSE;0
Tc3p;set3;T1-((P1-d)+d);FALSE;0
Tc3p;set3;(T1-(P1-d))-d;FALSE;0
Tc3p;set3;((T1-d)-P1)+d;FALSE;0
Tc3p;set3;P1+((T1+d)-T1);FALSE;0
Tc3p;set3;P1-((T1-P1)-d);TRUE;0
Tc3p;set3;(T1-(T1-P1))+d;FALSE;0
Tc3p;set3;((T1+d)-P1)-P1;FALSE;0
